year,country,cluster,pop,life_expect,fertility
1990,China,E,1135185000,68.69,1.92
1995,China,E,1204855000,70.426,1.781
2000,China,E,1262645000,72.028,1.7
2005,China,E,1303182268,72.961,1.725
1955,Colombia,D,13588405,55.118,6.76
1960,Colombia,D,15952727,57.863,6.76
1965,Colombia,D,18646175,59.963,6.18
1970,Colombia,D,21429658,61.623,5.0005
1975,Colombia,D,24114177,63.837,4.3385
1980,Colombia,D,26582811,66.653,3.685
1985,Colombia,D,29678395,67.768,3.172
1990,Colombia,D,32858579,68.421,2.93005
1995,Colombia,D,36280883,70.313,2.7
2000,Colombia,D,39685655,71.682,2.4705
2005,Colombia,D,42954279,72.889,2.2205
1955,Costa Rica,D,1031782,60.026,7.1135
1960,Costa Rica,D,1248022,62.842,7.2245
1965,Costa Rica,D,1487605,65.424,5.801
1970,Costa Rica,D,1735523,67.849,4.346
1975,Costa Rica,D,1991580,70.75,3.7755
1980,Costa Rica,D,2299124,73.45,3.527
1985,Costa Rica,D,2643808,74.752,3.374
1990,Costa Rica,D,3027175,75.713,2.945
1995,Costa Rica,D,3383786,77.26,2.5835
2000,Costa Rica,D,3710558,78.123,2.2815
2005,Costa Rica,D,4016173,78.782,2.0985
1955,Croatia,B,3955526,64.77,2.42
1960,Croatia,B,4036145,67.13,2.27
1965,Croatia,B,4133313,68.5,2.09
1970,Croatia,B,4205389,69.61,1.96
1975,Croatia,B,4255000,70.64,2.02
1980,Croatia,B,4383000,70.46,1.96
1985,Croatia,B,4457874,71.52,1.84
1990,Croatia,B,4508347,72.527,1.52
1995,Croatia,B,4496683,73.68,1.537
2000,Croatia,B,4410830,74.876,1.348
2005,Croatia,B,4495904,75.748,1.346
1955,Cuba,D,6381106,62.325,3.6995
1960,Cuba,D,7027210,65.246,4.6805
1965,Cuba,D,7809916,68.29,4.3
1970,Cuba,D,8542746,70.723,3.6
1975,Cuba,D,9290074,72.649,2.15
1980,Cuba,D,9652975,73.717,1.8495
1985,Cuba,D,10078658,74.174,1.8495
1990,Cuba,D,10544793,74.414,1.6505
1995,Cuba,D,10896802,76.151,1.6095
2000,Cuba,D,11134273,77.158,1.63
2005,Cuba,D,11346670,78.273,1.49
1955,Dominican Republic,D,2737257,49.828,7.6405
1960,Dominican Republic,D,3231488,53.459,7.3505
1965,Dominican Republic,D,3805881,56.751,6.6495
1970,Dominican Republic,D,4422755,59.631,5.71
1975,Dominican Republic,D,5048499,61.788,4.76
1980,Dominican Republic,D,5696855,63.727,4
1985,Dominican Republic,D,6377765,66.046,3.47
1990,Dominican Republic,D,7077651,68.457,3.1995
1995,Dominican Republic,D,7730224,69.957,3.05
2000,Dominican Republic,D,8385828,70.847,2.95
2005,Dominican Republic,D,9049595,72.235,2.81
1955,Ecuador,D,3842399,51.356,6.7
1960,Ecuador,D,4415956,54.64,6.7
1965,Ecuador,D,5117779,56.678,6.5
1970,Ecuador,D,5939246,58.796,6.0005
1975,Ecuador,D,6871698,61.31,5.4005
1980,Ecuador,D,7920499,64.342,4.7005
1985,Ecuador,D,9061664,67.231,4
1990,Ecuador,D,10318036,69.613,3.4005
1995,Ecuador,D,11438004,72.312,3.1
2000,Ecuador,D,12505204,74.173,2.8175
2005,Ecuador,D,13363593,74.994,2.578
1955,Egypt,F,23855527,44.444,6.97
1960,Egypt,F,26846610,46.992,7.073
1965,Egypt,F,30265148,49.293,6.56
1970,Egypt,F,33574026,51.137,5.855
1975,Egypt,F,36952499,53.319,5.609
1980,Egypt,F,42634215,56.006,5.332
1985,Egypt,F,50052381,59.797,4.833
1990,Egypt,F,56694413,63.674,3.908
1995,Egypt,F,63321615,67.217,3.5
2000,Egypt,F,70492342,69.806,3.174
2005,Egypt,F,77505756,71.338,2.891
1955,El Salvador,D,2221139,48.57,6.8065
1960,El Salvador,D,2581583,52.307,6.847
1965,El Salvador,D,3017852,55.855,6.621
1970,El Salvador,D,3603907,58.207,6.0995
1975,El Salvador,D,4071179,56.696,5.5996
1980,El Salvador,D,4566199,56.604,4.5
1985,El Salvador,D,4664361,63.154,3.901
1990,El Salvador,D,5099884,66.798,3.52
1995,El Salvador,D,5568437,69.535,3.17
2000,El Salvador,D,6122515,70.734,2.883
2005,El Salvador,D,6704932,71.878,2.6825
1955,Finland,B,4234900,67.49,2.769
1960,Finland,B,4429600,68.75,2.66
1965,Finland,B,4563732,69.83,2.191
1970,Finland,B,4606307,70.87,1.623
1975,Finland,B,4711439,72.52,1.663
1980,Finland,B,4779535,74.55,1.685
1985,Finland,B,4901783,74.83,1.66
1990,Finland,B,4986431,75.7,1.819
1995,Finland,B,5104654,77.13,1.743
2000,Finland,B,5168595,78.37,1.754
2005,Finland,B,5223442,79.313,1.825
1955,France,B,43427669,68.93,2.712
1960,France,B,45670000,70.51,2.85
1965,France,B,48763000,71.55,2.607
1970,France,B,50787000,72.38,2.31
1975,France,B,52758427,73.83,1.862
1980,France,B,53869743,74.89,1.866
1985,France,B,55171224,76.34,1.805
1990,France,B,56735161,77.46,1.713
1995,France,B,58149727,78.64,1.7624
2000,France,B,59381628,79.59,1.8833
2005,France,B,60656178,80.657,1.8916
1955,Georgia,B,3827154,62.625,2.909
1960,Georgia,B,4146570,64.644,2.979
1965,Georgia,B,4464959,66.654,2.611
1970,Georgia,B,4694491,68.158,2.601
1975,Georgia,B,4897656,69.634,2.39
1980,Georgia,B,5045697,69.638,2.269
1985,Georgia,B,5192957,70.45,2.263
1990,Georgia,B,5426207,70.465,1.95
1995,Georgia,B,5012952,70.49,1.58
2000,Georgia,B,4777209,70.476,1.478
2005,Georgia,B,4677401,70.987,1.407
1955,Germany,B,70195612,69.1,2.3
1960,Germany,B,72480869,70.3,2.49
1965,Germany,B,75638851,70.8,2.32
1970,Germany,B,77783164,71,1.64
1975,Germany,B,78682325,72.5,1.52
1980,Germany,B,78297904,73.8,1.46
1985,Germany,B,77684907,74.847,1.43
1990,Germany,B,79380394,76.07,1.31
1995,Germany,B,81653702,77.34,1.34
2000,Germany,B,82187909,78.67,1.346
2005,Germany,B,82431390,79.406,1.36
1955,Greece,B,7965538,67.86,2.27
1960,Greece,B,8327405,69.51,2.2
1965,Greece,B,8550333,71,2.38
1970,Greece,B,8792806,72.34,2.32
1975,Greece,B,9046542,73.68,2.32
1980,Greece,B,9642505,75.24,1.96
1985,Greece,B,9923253,76.67,1.53
1990,Greece,B,10129603,77.03,1.37
1995,Greece,B,10457554,77.869,1.296
2000,Greece,B,10559110,78.256,1.277
2005,Greece,B,10668354,79.483,1.325
1955,Grenada,D,84621,63.114,6.7
1960,Grenada,D,90148,63.608,6.4
1965,Grenada,D,93290,64.091,4.8
1970,Grenada,D,95410,64.577,4.6
1975,Grenada,D,95819,65.035,4.3
1980,Grenada,D,90164,65.503,4.23
1985,Grenada,D,92203,66.002,4.14
1990,Grenada,D,92360,66.469,3.26
1995,Grenada,D,90603,66.986,2.814
2000,Grenada,D,89312,67.746,2.429
2005,Grenada,D,89502,68.724,2.302
1955,Haiti,D,3376419,40.696,6.3
1960,Haiti,D,3722743,43.59,6.3
1965,Haiti,D,4137405,46.243,6
1970,Haiti,D,4604915,48.042,5.6005
1975,Haiti,D,4828338,49.923,5.8
1980,Haiti,D,5029725,51.461,6.2099
1985,Haiti,D,5517977,53.636,5.69985
1990,Haiti,D,6126101,55.089,5.14985
1995,Haiti,D,6675578,56.671,4.61995
2000,Haiti,D,7306302,58.137,4
2005,Haiti,D,8121622,60.916,3.5445
1955,Hong Kong,E,2490400,64.75,4.72
1960,Hong Kong,E,3075300,67.65,5.31
1965,Hong Kong,E,3597900,70,4.02
1970,Hong Kong,E,3959000,72,2.89
1975,Hong Kong,E,4395800,73.6,2.32
1980,Hong Kong,E,5063100,75.45,1.8
1985,Hong Kong,E,5456200,76.2,1.31
1990,Hong Kong,E,5687959,77.601,1.288
1995,Hong Kong,E,6225347,80,1.08
2000,Hong Kong,E,6658720,81.495,0.94
2005,Hong Kong,E,6898686,82.208,0.966
1955,Iceland,B,158044,73.47,4.023
1960,Iceland,B,175860,73.68,3.943
1965,Iceland,B,192288,73.73,3.154
1970,Iceland,B,204104,74.46,2.843
1975,Iceland,B,218031,76.11,2.287
1980,Iceland,B,228161,76.99,2.248
1985,Iceland,B,241403,77.23,2.116
1990,Iceland,B,254719,78.77,2.194
1995,Iceland,B,267527,78.95,2.056
2000,Iceland,B,281043,80.5,1.993
2005,Iceland,B,296737,81.757,2.052
1955,India,A,393000000,40.249,5.8961
1960,India,A,434000000,43.605,5.8216
1965,India,A,485000000,47.193,5.6058
1970,India,A,541000000,50.651,5.264
1975,India,A,607000000,54.208,4.8888
1980,India,A,679000000,56.596,4.4975
1985,India,A,755000000,58.553,4.15
1990,India,A,839000000,60.223,3.8648
1995,India,A,927000000,61.765,3.4551
2000,India,A,1007702000,62.879,3.1132
2005,India,A,1080264388,64.698,2.8073
1955,Indonesia,E,86807000,39.918,5.672
1960,Indonesia,E,95254000,42.518,5.62
1965,Indonesia,E,105093000,45.964,5.568
1970,Indonesia,E,116044000,49.203,5.3
1975,Indonesia,E,130297000,52.702,4.73
1980,Indonesia,E,146995000,56.159,4.109
1985,Indonesia,E,163403000,60.137,3.4
1990,Indonesia,E,178500000,62.681,2.9
1995,Indonesia,E,194755000,66.041,2.55
2000,Indonesia,E,206265000,68.588,2.3761
2005,Indonesia,E,218465000,70.65,2.182
1955,Iran,F,18729000,47.181,7
1960,Iran,F,21577000,49.325,7
1965,Iran,F,25000000,52.469,6.8
1970,Iran,F,28933000,55.234,6.4
1975,Iran,F,33379000,57.702,6.5
1980,Iran,F,39583397,59.62,6.63
1985,Iran,F,48439952,63.04,5.62
1990,Iran,F,57035717,65.742,4.328
1995,Iran,F,61628116,68.042,2.534
2000,Iran,F,65660289,69.451,2.124
2005,Iran,F,68017860,70.964,2.04
1955,Iraq,F,5903253,48.437,7.3
1960,Iraq,F,6822030,51.457,7.25
1965,Iraq,F,7970746,54.459,7.2
1970,Iraq,F,9413671,56.95,7.15
1975,Iraq,F,11117804,60.413,6.8
1980,Iraq,F,13232839,62.038,6.35
1985,Iraq,F,15693620,65.044,6.15
1990,Iraq,F,18134702,59.461,5.7
1995,Iraq,F,19557247,58.811,5.37
2000,Iraq,F,22675617,57.046,4.858
2005,Iraq,F,26074906,59.545,4.264
1955,Ireland,B,2916133,68.9,3.68
1960,Ireland,B,2832000,70.29,3.979
1965,Ireland,B,2876000,71.08,3.873
1970,Ireland,B,2950100,71.28,3.815
1975,Ireland,B,3177300,72.03,3.478
1980,Ireland,B,3401000,73.1,2.877
1985,Ireland,B,3540000,74.36,2.287
1990,Ireland,B,3508200,75.467,1.969
1995,Ireland,B,3613890,76.122,1.9
2000,Ireland,B,3791690,77.783,1.969
2005,Ireland,B,4015676,78.885,1.964
1955,Israel,F,1772032,67.84,3.893
1960,Israel,F,2141495,69.39,3.852
1965,Israel,F,2578184,70.75,3.79
1970,Israel,F,2903434,71.63,3.77
1975,Israel,F,3354242,73.06,3.409
1980,Israel,F,3737473,74.45,3.125
1985,Israel,F,4074965,75.6,3.051
1990,Israel,F,4512068,76.93,2.933
1995,Israel,F,5305120,78.269,2.942
2000,Israel,F,5842454,79.696,2.906
2005,Israel,F,6276883,80.745,2.75
1955,Italy,B,48633000,67.81,2.35
1960,Italy,B,50197600,69.24,2.498
1965,Italy,B,51987100,71.06,2.493
1970,Italy,B,53661100,72.19,2.325
1975,Italy,B,55571894,73.48,1.889
1980,Italy,B,56451247,74.98,1.53
1985,Italy,B,56731215,76.42,1.349
1990,Italy,B,56742886,77.44,1.275
1995,Italy,B,57274531,78.82,1.213
2000,Italy,B,57719337,80.24,1.286
2005,Italy,B,58103033,80.546,1.379
1955,Jamaica,D,1488805,62.61,5.08
1960,Jamaica,D,1631784,65.61,5.64
1965,Jamaica,D,1777397,67.51,5.78
1970,Jamaica,D,1943787,69,5
1975,Jamaica,D,2104879,70.11,4
1980,Jamaica,D,2228803,71.21,3.55
1985,Jamaica,D,2318652,71.77,3.1
1990,Jamaica,D,2347922,71.766,2.84
1995,Jamaica,D,2469389,72.262,2.67
2000,Jamaica,D,2615467,72.047,2.628
2005,Jamaica,D,2735520,72.567,2.4289
1955,Japan,E,89815060,65.5,2.08
1960,Japan,E,94091638,68.73,2.02
1965,Japan,E,98882534,71.43,2
1970,Japan,E,104344973,73.42,2.07
1975,Japan,E,111573116,75.38,1.81
1980,Japan,E,116807309,77.11,1.76
1985,Japan,E,120754335,78.67,1.66
1990,Japan,E,123537399,79.36,1.49
1995,Japan,E,125341354,80.69,1.39
2000,Japan,E,126699784,82,1.291
2005,Japan,E,127417244,82.603,1.27
1955,Kenya,C,7033999,44.686,7.816
1960,Kenya,C,8156827,47.949,8.12
1965,Kenya,C,9549179,50.654,8.12
1970,Kenya,C,11247182,53.559,8
1975,Kenya,C,13433414,56.155,7.6
1980,Kenya,C,16331401,58.766,7.2
1985,Kenya,C,19763285,59.339,6.5
1990,Kenya,C,23358413,59.285,5.4
1995,Kenya,C,27060142,54.407,5
2000,Kenya,C,29985839,50.992,5
2005,Kenya,C,33829590,54.11,4.959
1955,South Korea,E,8839427,54.081,3.8
1960,South Korea,E,10391909,56.656,3.41
1965,South Korea,E,11868751,59.942,4.09
1970,South Korea,E,13911902,63.983,3.72
1975,South Korea,E,15801308,67.159,2.58
1980,South Korea,E,17113626,69.1,2.93
1985,South Korea,E,18481420,70.647,2.45
1990,South Korea,E,20018546,69.978,2.35
1995,South Korea,E,21561856,67.727,2.0938
2000,South Korea,E,21647682,66.662,1.9173
2005,South Korea,E,22912177,67.297,1.85
1955,North Korea,E,21551834,52.681,6.332
1960,North Korea,E,24784140,55.292,5.63
1965,North Korea,E,28705000,57.716,4.708
1970,North Korea,E,32241000,62.612,4.281
1975,North Korea,E,35281000,64.766,2.919
1980,North Korea,E,38124000,67.123,2.234
1985,North Korea,E,40806000,69.81,1.601
1990,North Korea,E,42869000,72.244,1.696
1995,North Korea,E,45264146,74.647,1.514
2000,North Korea,E,47351083,77.045,1.242
2005,North Korea,E,48640671,78.623,1.21
1955,Lebanon,F,1560985,59.489,5.72
1960,Lebanon,F,1786235,62.094,5.689
1965,Lebanon,F,2057945,63.87,5.336
1970,Lebanon,F,2383029,65.421,4.78
1975,Lebanon,F,3098159,66.099,4.311
1980,Lebanon,F,3085876,66.983,3.895
1985,Lebanon,F,3088235,67.926,3.313
1990,Lebanon,F,3147267,69.292,3
1995,Lebanon,F,3334733,70.265,2.695
2000,Lebanon,F,3578036,71.028,2.319
2005,Lebanon,F,3826018,71.993,2.209
1955,Mexico,D,32929914,55.19,6.8
1960,Mexico,D,38578505,58.299,6.7495
1965,Mexico,D,45142399,60.11,6.7495
1970,Mexico,D,52775158,62.361,6.5
1975,Mexico,D,60678045,65.032,5.2505
1980,Mexico,D,68347479,67.405,4.25
1985,Mexico,D,76767225,69.498,3.6295
1990,Mexico,D,84913652,71.455,3.1905
1995,Mexico,D,92880353,73.67,2.6705
2000,Mexico,D,99926620,74.902,2.4005
2005,Mexico,D,106202903,76.195,2.211
1955,Netherlands,B,10750842,72.99,3.095
1960,Netherlands,B,11486000,73.23,3.168
1965,Netherlands,B,12292000,73.82,2.797
1970,Netherlands,B,13032335,73.75,2.059
1975,Netherlands,B,13653438,75.24,1.596
1980,Netherlands,B,14143901,76.05,1.515
1985,Netherlands,B,14491380,76.83,1.555
1990,Netherlands,B,14951510,77.42,1.583
1995,Netherlands,B,15459054,78.03,1.6
2000,Netherlands,B,15907853,78.53,1.726
2005,Netherlands,B,16407491,79.762,1.721
1955,New Zealand,E,2136168,70.26,4.07
1960,New Zealand,E,2371746,71.24,4.022
1965,New Zealand,E,2640400,71.52,3.348
1970,New Zealand,E,2828050,71.89,2.843
1975,New Zealand,E,3117800,72.22,2.178
1980,New Zealand,E,3170150,73.84,1.963
1985,New Zealand,E,3298050,74.32,2.053
1990,New Zealand,E,3359604,76.33,2.061
1995,New Zealand,E,3565990,77.55,1.952
2000,New Zealand,E,3819762,79.11,1.964
2005,New Zealand,E,4035461,80.204,1.994
1955,Nigeria,C,35458978,37.802,6.9
1960,Nigeria,C,39914593,39.36,6.9
1965,Nigeria,C,45020052,41.04,6.9
1970,Nigeria,C,51027516,42.821,6.9
1975,Nigeria,C,58522112,44.514,6.9
1980,Nigeria,C,68550274,45.826,6.9
1985,Nigeria,C,77573154,46.886,6.834
1990,Nigeria,C,88510354,47.472,6.635
1995,Nigeria,C,100960105,47.464,6.246
2000,Nigeria,C,114306700,46.608,5.845
2005,Nigeria,C,128765768,46.859,5.322
1955,Norway,B,3427409,73.44,2.837
1960,Norway,B,3581239,73.47,2.898
1965,Norway,B,3723153,74.08,2.719
1970,Norway,B,3877386,74.34,2.248
1975,Norway,B,4007313,75.37,1.81
1980,Norway,B,4085620,75.97,1.687
1985,Norway,B,4152419,75.89,1.8
1990,Norway,B,4242006,77.32,1.886
1995,Norway,B,4359101,78.32,1.853
2000,Norway,B,4492400,79.05,1.801
2005,Norway,B,4593041,80.196,1.848
1955,Pakistan,A,44434445,45.557,6.6
1960,Pakistan,A,50386898,47.67,6.6
1965,Pakistan,A,57494940,49.8,6.6
1970,Pakistan,A,65705964,51.929,6.6
1975,Pakistan,A,74711541,54.043,6.6
1980,Pakistan,A,85219117,56.158,6.6
1985,Pakistan,A,99060352,58.245,6.66
1990,Pakistan,A,114578478,60.838,5.8
1995,Pakistan,A,128690285,61.818,4.9596
2000,Pakistan,A,146342958,63.61,3.9936
2005,Pakistan,A,162419946,65.483,3.5211
1955,Peru,D,8671500,46.263,6.853
1960,Peru,D,9931000,49.096,6.853
1965,Peru,D,11467300,51.445,6.56
1970,Peru,D,13192800,55.448,6
1975,Peru,D,15161199,58.447,5.378
1980,Peru,D,17295298,61.406,4.65
1985,Peru,D,19348926,64.134,4.1
1990,Peru,D,21511443,66.458,3.7
1995,Peru,D,23846388,68.386,3.0995
2000,Peru,D,25979722,69.906,2.7005
2005,Peru,D,27925628,71.421,2.5065
1955,Philippines,E,24553055,51.334,7.13
1960,Philippines,E,28528939,54.757,6.85
1965,Philippines,E,33267569,56.393,6.5
1970,Philippines,E,38603696,58.065,6
1975,Philippines,E,44336842,60.06,5.5
1980,Philippines,E,50940182,62.082,4.95
1985,Philippines,E,57288037,64.151,4.55
1990,Philippines,E,64318120,66.458,4.143
1995,Philippines,E,71717437,68.564,3.7248
2000,Philippines,E,79739825,70.303,3.5436
2005,Philippines,E,87857473,71.688,3.2327
1955,Poland,B,27220668,65.77,3.29
1960,Poland,B,29589842,67.64,2.65
1965,Poland,B,31262358,69.61,2.27
1970,Poland,B,32526000,70.85,2.25
1975,Poland,B,33969240,70.67,2.26
1980,Poland,B,35578016,71.32,2.33
1985,Poland,B,37225792,70.98,2.15
1990,Poland,B,38119408,70.99,1.89
1995,Poland,B,38600642,72.75,1.478
2000,Poland,B,38654164,74.67,1.251
2005,Poland,B,38557984,75.563,1.227
1955,Portugal,B,8692600,61.51,3.03
1960,Portugal,B,9036700,64.39,3.074
1965,Portugal,B,9128850,66.6,2.849
1970,Portugal,B,9044200,69.26,2.748
1975,Portugal,B,9411090,70.41,2.41
1980,Portugal,B,9777800,72.77,1.982
1985,Portugal,B,9897192,74.06,1.594
1990,Portugal,B,9922689,74.86,1.516
1995,Portugal,B,10065543,75.97,1.475
2000,Portugal,B,10335597,77.29,1.454
2005,Portugal,B,10566212,78.098,1.455
1955,Rwanda,C,2698272,41.5,8
1960,Rwanda,C,3031804,43,8.1
1965,Rwanda,C,3264640,44.1,8.2
1970,Rwanda,C,3769171,44.6,8.29
1975,Rwanda,C,4356863,45,8.492
1980,Rwanda,C,5138689,46.218,8.5
1985,Rwanda,C,6009833,44.02,8.25
1990,Rwanda,C,6923738,23.599,6.9
1995,Rwanda,C,5706501,36.087,6.0993
2000,Rwanda,C,7507056,43.413,6.01
2005,Rwanda,C,8440820,46.242,5.9169
1955,Saudi Arabia,F,4243218,42.868,7.175
1960,Saudi Arabia,F,4718301,45.914,7.257
1965,Saudi Arabia,F,5327432,49.901,7.257
1970,Saudi Arabia,F,6109051,53.886,7.298
1975,Saudi Arabia,F,7204820,58.69,7.278
1980,Saudi Arabia,F,9999161,63.012,7.015
1985,Saudi Arabia,F,13330067,66.295,6.217
1990,Saudi Arabia,F,16060761,68.768,5.446
1995,Saudi Arabia,F,19966998,70.533,4.621
2000,Saudi Arabia,F,23153090,71.626,3.81
2005,Saudi Arabia,F,26417599,72.777,3.352
1955,South Africa,C,15368551,47.985,6.5
1960,South Africa,C,17416653,49.951,6.3
1965,South Africa,C,19898242,51.927,5.7
1970,South Africa,C,22739921,53.696,5.47
1975,South Africa,C,25815144,55.527,5
1980,South Africa,C,29251588,58.161,4.556
1985,South Africa,C,34254092,60.834,3.85
1990,South Africa,C,38391094,61.888,3.343
1995,South Africa,C,41779149,60.236,2.954
2000,South Africa,C,44066197,53.365,2.802
2005,South Africa,C,44344136,49.339,2.637
1955,Spain,B,29318745,66.66,2.75
1960,Spain,B,30641187,69.69,2.89
1965,Spain,B,32084511,71.44,2.92
1970,Spain,B,33876479,73.06,2.86
1975,Spain,B,35563535,74.39,2.57
1980,Spain,B,37488360,76.3,1.89
